bfs_nr;municipality;canton;electric_car_share;electric_car_share_last_change;solar_potential_usage;solar_potential_usage_last_change;renewable_heating_share;renewable_heating_share_coverage;renewable_heating_share_last_change
4701;Wäldi;TG;0.028506;31.01.2023;0.075139;29.08.2022;0.472019;0.836879;25.01.2023
4711;Affeltrangen;TG;0.025395;31.01.2023;0.150582;04.10.2022;0.412422;0.821206;21.07.2022
4716;Bettwiesen;TG;0.028421;31.01.2023;0.080176;26.09.2022;0.328313;0.787671;22.02.2023
4721;Bichelsee-Balterswil;TG;0.02877;31.01.2023;0.076559;27.10.2022;0.431946;0.802444;26.01.2023
4723;Braunau;TG;0.035889;31.01.2023;0.092005;29.07.2022;0.613636;0.858824;06.10.2022
4724;Eschlikon;TG;0.033865;31.01.2023;0.09299;25.11.2022;0.291853;0.865338;03.02.2023
4726;Fischingen;TG;0.017699;31.01.2023;0.087824;01.11.2022;0.561786;0.943417;01.11.2022
4741;Lommis;TG;0.022893;31.01.2023;0.049937;29.08.2022;0.513317;0.820913;04.01.2023
4746;Münchwilen (TG);TG;0.0236;31.01.2023;0.065473;02.12.2022;0.321984;0.875357;20.02.2023
4751;Rickenbach (TG);TG;0.020708;31.01.2023;0.051693;07.02.2022;0.230769;0.857904;30.11.2022
4756;Schönholzerswilen;TG;0.018634;31.01.2023;0.089565;08.09.2022;0.677305;0.842105;12.10.2022
4761;Sirnach;TG;0.027526;31.01.2023;0.087841;10.10.2022;0.214958;0.886066;24.02.2023
4776;Tobel-Tägerschen;TG;0.024135;31.01.2023;0.090992;09.12.2022;0.376975;0.797647;03.11.2022
4781;Wängi;TG;0.027249;31.01.2023;0.08747;14.10.2022;0.313348;0.861652;23.02.2023
4786;Wilen (TG);TG;0.030726;31.01.2023;0.137547;10.11.2022;0.259542;0.886389;22.02.2023
4791;Wuppenau;TG;0.028377;31.01.2023;0.08067;22.06.2022;0.58961;0.850123;26.09.2022
4801;Berlingen;TG;0.035439;31.01.2023;0.07211;08.08.2022;0.23262;0.858293;23.01.2023
4806;Eschenz;TG;0.026906;31.01.2023;0.050462;13.10.2022;0.398074;0.868101;06.01.2023
4811;Herdern;TG;0.046997;31.01.2023;0.102793;21.11.2022;0.584958;0.858806;06.12.2022
4816;Homburg;TG;0.018167;31.01.2023;0.087961;14.07.2022;0.614679;0.867381;06.02.2023
4821;Hüttwilen;TG;0.04542;31.01.2023;0.076479;01.07.2022;0.535593;0.829843;12.05.2022
4826;Mammern;TG;0.047146;31.01.2023;0.035115;02.11.2022;0.313008;0.831169;18.01.2022
4831;Müllheim;TG;0.023303;31.01.2023;0.066291;28.10.2022;0.277443;0.847889;27.12.2022
4841;Pfyn;TG;0.025047;31.01.2023;0.047735;12.07.2022;0.381902;0.721137;10.12.2022
4846;Raperswilen;TG;0.017341;31.01.2023;0.063039;22.07.2022;0.572254;0.848329;29.03.2021
4851;Salenstein;TG;0.029075;31.01.2023;0.0737;11.07.2022;0.299163;0.856098;28.12.2022
4864;Steckborn;TG;0.0236;31.01.2023;0.098662;25.11.2022;0.230129;0.872896;30.01.2023
4871;Wagenhausen;TG;0.021277;31.01.2023;0.047444;16.09.2022;0.410811;0.858801;09.12.2022
4881;Amlikon-Bissegg;TG;0.024808;31.01.2023;0.222526;13.09.2022;0.590822;0.891641;29.11.2022
4891;Berg (TG);TG;0.02558;31.01.2023;0.093721;24.11.2022;0.345679;0.855786;12.10.2022
4901;Birwinken;TG;0.028945;31.01.2023;0.097324;22.06.2022;0.525974;0.866446;22.02.2023
4911;Bürglen (TG);TG;0.020697;31.01.2023;0.054989;22.09.2022;0.278761;0.837147;13.01.2023
4921;Bussnang;TG;0.027716;31.01.2023;0.066848;02.11.2022;0.492;0.842365;22.12.2022
4941;Märstetten;TG;0.023423;31.01.2023;0.085916;06.12.2022;0.313299;0.855214;17.01.2023
4946;Weinfelden;TG;0.032689;31.01.2023;0.134195;30.11.2022;0.227486;0.865462;20.02.2023
4951;Wigoltingen;TG;0.032593;31.01.2023;0.097926;19.10.2022;0.374846;0.849834;18.10.2022
